Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
Cayco Tz Ltd,100,BUK HoldCo Ltd,,Cayman Islands,,,https://s3-eu-west-1.amazonaws.com/document-api-images-prod/docs/_tlAlahgxcdgkq740BBr1dnbF83zgqhPzY3N3P0aw9E/application-pdf?AWSAccessKeyId=ASIAJVK4YHLGNUOTDCBQ&Expires=1436192115&Signature=HNqH6Npuof0QocrXkKQYfLgs3%2BI%3D&x-amz-security-token=AQoDYXdzEBMa0ANnKtLhV5uKBdh2EZgM9IhjUm5viOzVf6nK%2BvJmsXvy9a%2BVAtZExmTYjUv2Vs8zJogKuKQjHQLy%2FAfnuZcJjCm721T5fjBP9JymVP0atpO958LgBYHXAo0Hd4LgVEXOiGDijGRoD2USe99yuAvPAeimK8Izme4DhOCvO11rCF%2BMDVgCf54dH00ZjRNOcGFEywVvaG33HpCQe3qzyZirpqU73R0fhYwArXRZ5%2B2r2J9kr%2BuvR2oHala7gUjEW3W2nqMBgRpo8I36arsBkJliNHdGWt77WVQnjT699rF4e7e85fGj8gPpudOKjzYrWl5cqM7l7e1tY4gVWvAjlFHOvoIUDAfbOjJkhxyRqmRnEowvID6bx0ArjobG%2BJRLpou1BQDzqb6okGawSPixAtCfZiCZEzWqIOQcUMVNE7A8t6uDezBUuA8UMq%2B8nypOCQkeaY60AHNfELHrvNHriRGNm%2BGCld2DXMJQSE%2FD12DPmFgDi5XZkqbaIWwlZx6J0dqOpZr%2BaRIu96oX9n8psWB5%2Bh8oNxrKVw7PmSzh6KOLtT%2BqkGU9ATeg7HBwMYchJI7SA8F1LhJzCIf5Oqwzcx1U6m1gaPFkoa0GqzdvouCmG9hDoyCzpemsBQ%3D%3D,2013,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
East Africa Gold Mines Ltd,100,BUK HoldCo Ltd,,Australia,,,https://s3-eu-west-1.amazonaws.com/document-api-images-prod/docs/_tlAlahgxcdgkq740BBr1dnbF83zgqhPzY3N3P0aw9E/application-pdf?AWSAccessKeyId=ASIAJVK4YHLGNUOTDCBQ&Expires=1436192115&Signature=HNqH6Npuof0QocrXkKQYfLgs3%2BI%3D&x-amz-security-token=AQoDYXdzEBMa0ANnKtLhV5uKBdh2EZgM9IhjUm5viOzVf6nK%2BvJmsXvy9a%2BVAtZExmTYjUv2Vs8zJogKuKQjHQLy%2FAfnuZcJjCm721T5fjBP9JymVP0atpO958LgBYHXAo0Hd4LgVEXOiGDijGRoD2USe99yuAvPAeimK8Izme4DhOCvO11rCF%2BMDVgCf54dH00ZjRNOcGFEywVvaG33HpCQe3qzyZirpqU73R0fhYwArXRZ5%2B2r2J9kr%2BuvR2oHala7gUjEW3W2nqMBgRpo8I36arsBkJliNHdGWt77WVQnjT699rF4e7e85fGj8gPpudOKjzYrWl5cqM7l7e1tY4gVWvAjlFHOvoIUDAfbOjJkhxyRqmRnEowvID6bx0ArjobG%2BJRLpou1BQDzqb6okGawSPixAtCfZiCZEzWqIOQcUMVNE7A8t6uDezBUuA8UMq%2B8nypOCQkeaY60AHNfELHrvNHriRGNm%2BGCld2DXMJQSE%2FD12DPmFgDi5XZkqbaIWwlZx6J0dqOpZr%2BaRIu96oX9n8psWB5%2Bh8oNxrKVw7PmSzh6KOLtT%2BqkGU9ATeg7HBwMYchJI7SA8F1LhJzCIf5Oqwzcx1U6m1gaPFkoa0GqzdvouCmG9hDoyCzpemsBQ%3D%3D,2013,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
ABG Exploration Limited,100,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Matinje Exploration Ltd,75,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Itobo Exploration Ltd,75,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Nyanzaga Exploration Company Ltd,100,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,3.56,Van Eck Associates Corporation,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,0.71,Ontario Teachers' Pension Plan,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/12/2010,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,0.91,British Columbia Inv Management Corp,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2010,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,2.51,"Arnhold & S. Bleichroeder Advisers, LLC",,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,2.17,Capital World Investors,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,1.95,Carmignac Gestion,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,1.47,Toronto-Dominion Bank,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,1.43,Slate Path Capital LP,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,1.42,CIBC World Markets Inc.,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,1.34,BMO Asset Management Inc.,,Canada,,,http://quote.morningstar.ca/Quicktakes/owners/MajorShareholders.aspx?t=ABX&region=USA&culture=en-CA,31/03/2015,Medium,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
